Trial;Metal;Voltage (V);Current (pA);Frequency (Hz);Wavelength (nm);;;;Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm)
1;Sodium;0,01;0;5,50E+14;545;;;;1,Sodium, 0,010, 0,00,5,5046E14,545,00
2;Sodium;0,08;0,02;5,68E+14;528;;;;2,Sodium, 0,080, 0,02,5,6818E14,528,00
3;Sodium;0,159;0,01;5,87E+14;511;;;;3,Sodium, 0,159, 0,01,5,8708E14,511,00
4;Sodium;0,24;-0,01;6,07E+14;494;;;;4,Sodium, 0,240,-0,01,6,0729E14,494,00
5;Sodium;0,328;0,01;6,29E+14;477;;;;5,Sodium, 0,328, 0,01,6,2893E14,477,00
6;Sodium;0,432;0,01;6,52E+14;460;;;;6,Sodium, 0,432, 0,01,6,5217E14,460,00
7;Sodium;0,53;-0,01;6,77E+14;443;;;;7,Sodium, 0,530,-0,01,6,7720E14,443,00
8;Sodium;0,639;-0,01;7,04E+14;426;;;;8,Sodium, 0,639,-0,01,7,0423E14,426,00
9;Sodium;0,761;0,02;7,34E+14;409;;;;9,Sodium, 0,761, 0,02,7,3350E14,409,00
10;Sodium;0,889;0,01;7,65E+14;392;;;;10,Sodium, 0,889, 0,01,7,6531E14,392,00
11;Sodium;1,038;-0,01;8,00E+14;375;;;;11,Sodium, 1,038,-0,01,8,0000E14,375,00
12;Sodium;1,199;-0,02;8,38E+14;358;;;;12,Sodium, 1,199,-0,02,8,3799E14,358,00
13;Sodium;1,38;0,01;8,80E+14;341;;;;13,Sodium, 1,380, 0,01,8,7977E14,341,00
14;Sodium;1,562;0,02;9,26E+14;324;;;;14,Sodium, 1,562, 0,02,9,2593E14,324,00
15;Sodium;1,769;0,01;9,77E+14;307;;;;15,Sodium, 1,769, 0,01,9,7720E14,307,00
16;Sodium;2,01;-0,01;1,03E+15;290;;;;16,Sodium, 2,010,-0,01,10,3448E14,290,00
17;Sodium;2,278;0,02;1,10E+15;273;;;;17,Sodium, 2,278, 0,02,10,9890E14,273,00
18;Sodium;2,582;0;1,17E+15;256;;;;18,Sodium, 2,582, 0,00,11,7188E14,256,00
19;Sodium;2,919;0,03;1,26E+15;239;;;;19,Sodium, 2,919, 0,03,12,5523E14,239,00
20;Sodium;3,321;0,02;1,35E+15;222;;;;20,Sodium, 3,321, 0,02,13,5135E14,222,00
21;Sodium;3,78;0;1,46E+15;205;;;;21,Sodium, 3,780,-0,00,14,6341E14,205,00
