Trial;Metal;Voltage (V);Current (pA);Frequency (Hz);Wavelength (nm);;;;Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm)
1;Mercury;0,01;0,02;1,09E+15;276;;;;1,Mercury, 0.010, 0.02,10.8696E14,276.00
2;Mercury;0,061;-0,01;1,10E+15;273;;;;2,Mercury, 0.061,-0.01,10.9890E14,273.00
3;Mercury;0,109;0,01;1,11E+15;270;;;;3,Mercury, 0.109, 0.01,11.1111E14,270.00
4;Mercury;0,16;0,02;1,12E+15;267;;;;4,Mercury, 0.160, 0.02,11.2360E14,267.00
5;Mercury;0,211;-0,01;1,14E+15;264;;;;5,Mercury, 0.211,-0.01,11.3636E14,264.00
6;Mercury;0,268;0,02;1,15E+15;261;;;;6,Mercury, 0.268, 0.02,11.4943E14,261.00
7;Mercury;0,319;0;1,16E+15;258;;;;7,Mercury, 0.319, 0.00,11.6279E14,258.00
8;Mercury;0,379;0,02;1,18E+15;255;;;;8,Mercury, 0.379, 0.02,11.7647E14,255.00
9;Mercury;0,441;0,02;1,19E+15;252;;;;9,Mercury, 0.441, 0.02,11.9048E14,252.00
10;Mercury;0,499;0;1,20E+15;249;;;;10,Mercury, 0.499, 0.00,12.0482E14,249.00
11;Mercury;0,559;0;1,22E+15;246;;;;11,Mercury, 0.559, 0.00,12.1951E14,246.00
12;Mercury;0,618;0;1,23E+15;243;;;;12,Mercury, 0.618, 0.00,12.3457E14,243.00
13;Mercury;0,679;0;1,25E+15;240;;;;13,Mercury, 0.679, 0.00,12.5000E14,240.00
14;Mercury;0,751;0,02;1,27E+15;237;;;;14,Mercury, 0.751, 0.02,12.6582E14,237.00
15;Mercury;0,821;-0,02;1,28E+15;234;;;;15,Mercury, 0.821,-0.02,12.8205E14,234.00
16;Mercury;0,89;-0,01;1,30E+15;231;;;;16,Mercury, 0.890,-0.01,12.9870E14,231.00
17;Mercury;0,961;-0,01;1,32E+15;228;;;;17,Mercury, 0.961,-0.01,13.1579E14,228.00
18;Mercury;1,03;0,01;1,33E+15;225;;;;18,Mercury, 1.030, 0.01,13.3333E14,225.00
19;Mercury;1,1;-0,01;1,35E+15;222;;;;19,Mercury, 1.100,-0.01,13.5135E14,222.00
20;Mercury;1,18;-0,01;1,37E+15;219;;;;20,Mercury, 1.180,-0.01,13.6986E14,219.00
21;Mercury;1,262;0;1,39E+15;216;;;;21,Mercury, 1.262, 0.00,13.8889E14,216.00
22;Mercury;1,34;-0,02;1,41E+15;213;;;;22,Mercury, 1.340,-0.02,14.0845E14,213.00
23;Mercury;1,42;0;1,43E+15;210;;;;23,Mercury, 1.420, 0.00,14.2857E14,210.00
24;Mercury;1,508;0,01;1,45E+15;207;;;;24,Mercury, 1.508, 0.01,14.4928E14,207.00
25;Mercury;1,599;0,01;1,47E+15;204;;;;25,Mercury, 1.599, 0.01,14.7059E14,204.00
26;Mercury;1,689;-0,02;1,49E+15;201;;;;26,Mercury, 1.689,-0.02,14.9254E14,201.00
